X,Y,PEOPLE,TYPE,PEOPLE_201,icon_url
15.827136,-17.367535,7.0,Rural,7.9,./0.png
15.82557,-17.370975,7.0,Rural,7.9,./0.png
15.824518,-17.36946,7.0,Rural,7.9,./0.png
15.811601,-17.371078,7.0,Rural,7.9,./0.png
15.801451,-17.369501,7.0,Rural,7.9,./0.png
15.802631,-17.372306,7.0,Rural,7.9,./0.png
15.739567,-17.370627,7.0,Rural,7.9,./0.png
15.681632,-17.364299,7.0,Rural,7.9,./0.png
15.634918,-17.373228,7.0,Rural,7.9,./0.png
15.62994,-17.369214,7.0,Rural,7.9,./0.png
15.604813,-17.368702,7.0,Rural,7.9,./0.png
15.609813,-17.373781,7.0,Rural,7.9,./0.png
15.585823,-17.365917,7.0,Rural,7.9,./0.png
15.55089,-17.367166,7.0,Rural,7.9,./0.png
15.553894,-17.364975,7.0,Rural,7.9,./0.png
15.54368,-17.371446,7.0,Rural,7.9,./0.png
15.523446,-17.366019,7.0,Rural,7.9,./0.png
15.511472,-17.372654,7.0,Rural,7.9,./0.png
15.511236,-17.365446,7.0,Rural,7.9,./0.png
15.510099,-17.368927,7.0,Rural,7.9,./0.png
15.495229,-17.374457,7.0,Rural,7.9,./0.png
15.4895,-17.366634,7.0,Rural,7.9,./0.png
15.462377,-17.374108,7.0,Rural,7.9,./0.png
15.462227,-17.372532,7.0,Rural,7.9,./0.png
15.439975,-17.369787,7.0,Rural,7.9,./0.png
15.440705,-17.364668,7.0,Rural,7.9,./0.png
15.438881,-17.373474,7.0,Rural,7.9,./0.png
15.443151,-17.369378,7.0,Rural,7.9,./0.png
15.430856,-17.363848,7.0,Rural,7.9,./0.png
15.419204,-17.371159,7.0,Rural,7.9,./0.png
15.432959,-17.37075,7.0,Rural,7.9,./0.png
15.417101,-17.369521,7.0,Rural,7.9,./0.png
15.393777,-17.366593,7.0,Rural,7.9,./0.png
15.389206,-17.364442,7.0,Rural,7.9,./0.png
15.371654,-17.371856,7.0,Rural,7.9,./0.png
15.371525,-17.366244,7.0,Rural,7.9,./0.png
15.339231,-17.37331,7.0,Rural,7.9,./0.png
15.341678,-17.371753,7.0,Rural,7.9,./0.png
15.325949,-17.364954,7.0,Rural,7.9,./0.png
15.323052,-17.368538,7.0,Rural,7.9,./0.png
15.321786,-17.368989,7.0,Rural,7.9,./0.png
15.323997,-17.372613,7.0,Rural,7.9,./0.png
15.310671,-17.369869,7.0,Rural,7.9,./0.png
15.308826,-17.366326,7.0,Rural,7.9,./0.png
15.30683,-17.365016,7.0,Rural,7.9,./0.png
15.303569,-17.374027,7.0,Rural,7.9,./0.png
15.298505,-17.368538,7.0,Rural,7.9,./0.png
15.299857,-17.368989,7.0,Rural,7.9,./0.png
15.298462,-17.364278,7.0,Rural,7.9,./0.png
15.287175,-17.368436,7.0,Rural,7.9,./0.png
15.288312,-17.37077,7.0,Rural,7.9,./0.png
15.274129,-17.371098,7.0,Rural,7.9,./0.png
15.282626,-17.374702,7.0,Rural,7.9,./0.png
15.270653,-17.36647,7.0,Rural,7.9,./0.png
15.257392,-17.365057,7.0,Rural,7.9,./0.png
15.255997,-17.365753,7.0,Rural,7.9,./0.png
15.254259,-17.364647,7.0,Rural,7.9,./0.png
15.256984,-17.374498,7.0,Rural,7.9,./0.png
15.257413,-17.366695,7.0,Rural,7.9,./0.png
15.256577,-17.364033,7.0,Rural,7.9,./0.png
15.236042,-17.365077,7.0,Rural,7.9,./0.png
15.234003,-17.364975,7.0,Rural,7.9,./0.png
15.231771,-17.371979,7.0,Rural,7.9,./0.png
15.231686,-17.374743,7.0,Rural,7.9,./0.png
15.235612,-17.373535,7.0,Rural,7.9,./0.png
15.220699,-17.366797,7.0,Rural,7.9,./0.png
15.212996,-17.37333,7.0,Rural,7.9,./0.png
15.209498,-17.367064,7.0,Rural,7.9,./0.png
15.212181,-17.367678,7.0,Rural,7.9,./0.png
15.185509,-17.367658,7.0,Rural,7.9,./0.png
15.185852,-17.364381,7.0,Rural,7.9,./0.png
15.163815,-17.370197,7.0,Rural,7.9,./0.png
15.164695,-17.372061,7.0,Rural,7.9,./0.png
15.148559,-17.368722,7.0,Rural,7.9,./0.png
15.150661,-17.370525,7.0,Rural,7.9,./0.png
15.123711,-17.374211,7.0,Rural,7.9,./0.png
15.111673,-17.368886,7.0,Rural,7.9,./0.png
15.10721,-17.367043,7.0,Rural,7.9,./0.png
15.105836,-17.364668,7.0,Rural,7.9,./0.png
15.093026,-17.370791,7.0,Rural,7.9,./0.png
15.091567,-17.370668,7.0,Rural,7.9,./0.png
15.082576,-17.36434,7.0,Rural,7.9,./0.png
15.080903,-17.365958,7.0,Rural,7.9,./0.png
15.073371,-17.371651,7.0,Rural,7.9,./0.png
15.067255,-17.36989,7.0,Rural,7.9,./0.png
15.057127,-17.370361,7.0,Rural,7.9,./0.png
15.05481,-17.364831,7.0,Rural,7.9,./0.png
15.043201,-17.365548,7.0,Rural,7.9,./0.png
15.043588,-17.372757,7.0,Rural,7.9,./0.png
15.037043,-17.373064,7.0,Rural,7.9,./0.png
15.02522,-17.374293,7.0,Rural,7.9,./0.png
15.017903,-17.369665,7.0,Rural,7.9,./0.png
15.014749,-17.36604,7.0,Rural,7.9,./0.png
14.99593,-17.368948,7.0,Rural,7.9,./0.png
14.914327,-17.366982,7.0,Rural,7.9,./0.png
14.913704,-17.36819,7.0,Rural,7.9,./0.png
14.914799,-17.371549,7.0,Rural,7.9,./0.png
14.90555,-17.37034,7.0,Rural,7.9,./0.png
14.903018,-17.37034,7.0,Rural,7.9,./0.png
14.897633,-17.369542,7.0,Rural,7.9,./0.png
14.881389,-17.367555,7.0,Rural,7.9,./0.png
14.869201,-17.365405,7.0,Rural,7.9,./0.png
14.780903,-17.37333,7.0,Rural,7.9,./0.png
14.757707,-17.365425,7.0,Rural,7.9,./0.png
14.739854,-17.370299,7.0,Rural,7.9,./0.png
14.735456,-17.36733,7.0,Rural,7.9,./0.png
15.261726,-16.42742,7.0,Rural,7.9,./0.png
15.888480648006,-17.2866502494271,7.0,Rural,7.9,./0.png
15.8705033665097,-17.2852670198806,7.0,Rural,7.9,./0.png
15.8588951207532,-17.2922885111489,7.0,Rural,7.9,./0.png
15.8688382977039,-17.2953223351217,7.0,Rural,7.9,./0.png
15.8702474055379,-17.2988699357442,7.0,Rural,7.9,./0.png
15.873083055926,-17.2996424044973,7.0,Rural,7.9,./0.png
15.8681727540213,-17.2982158262941,7.0,Rural,7.9,./0.png
15.8805114517849,-17.2929725055481,7.0,Rural,7.9,./0.png
15.882212769789,-17.2958628292738,7.0,Rural,7.9,./0.png
15.8898335148093,-17.2972251859979,7.0,Rural,7.9,./0.png
15.8886214381687,-17.2908785362671,7.0,Rural,7.9,./0.png
15.8756807368422,-17.2822543066181,7.0,Rural,7.9,./0.png
15.8778897584257,-17.2838011323722,7.0,Rural,7.9,./0.png
15.8809718344394,-17.2811136866392,7.0,Rural,7.9,./0.png
15.8803846729941,-17.2843090292262,7.0,Rural,7.9,./0.png
15.8790612464851,-17.2545321855015,7.0,Rural,7.9,./0.png
15.8833356267834,-17.2507193973078,7.0,Rural,7.9,./0.png
15.8769518497641,-17.2565111347899,7.0,Rural,7.9,./0.png
15.8769454113859,-17.2493246000623,7.0,Rural,7.9,./0.png
15.8818447088271,-17.2475658159546,7.0,Rural,7.9,./0.png
15.8851464480962,-17.244829988364,7.0,Rural,7.9,./0.png
15.8688346036104,-17.2457669969736,7.0,Rural,7.9,./0.png
15.8764740846771,-17.2461049369378,7.0,Rural,7.9,./0.png
14.758587,-17.355882,7.0,Rural,7.9,./0.png
14.784851,-17.354939,7.0,Rural,7.9,./0.png
14.814677,-17.354817,7.0,Rural,7.9,./0.png
14.852786,-17.358544,7.0,Rural,7.9,./0.png
14.853773,-17.359404,7.0,Rural,7.9,./0.png
14.858322,-17.35836,7.0,Rural,7.9,./0.png
14.858258,-17.355308,7.0,Rural,7.9,./0.png
14.915142,-17.362149,7.0,Rural,7.9,./0.png
14.972563,-17.357008,7.0,Rural,7.9,./0.png
14.979923,-17.359527,7.0,Rural,7.9,./0.png
15.017195,-17.358544,7.0,Rural,7.9,./0.png
15.014555,-17.36092,7.0,Rural,7.9,./0.png
15.038996,-17.356209,7.0,Rural,7.9,./0.png
15.048716,-17.355882,7.0,Rural,7.9,./0.png
15.081117,-17.362681,7.0,Rural,7.9,./0.png
15.094829,-17.357131,7.0,Rural,7.9,./0.png
15.097296,-17.360019,7.0,Rural,7.9,./0.png
15.152893,-17.359834,7.0,Rural,7.9,./0.png
15.150576,-17.361821,7.0,Rural,7.9,./0.png
15.18126,-17.35795,7.0,Rural,7.9,./0.png
15.189629,-17.361043,7.0,Rural,7.9,./0.png
15.202804,-17.358728,7.0,Rural,7.9,./0.png
15.20128,-17.35625,7.0,Rural,7.9,./0.png
15.208361,-17.362947,7.0,Rural,7.9,./0.png
15.220098,-17.362476,7.0,Rural,7.9,./0.png
15.225871,-17.357868,7.0,Rural,7.9,./0.png
15.225592,-17.355103,7.0,Rural,7.9,./0.png
15.251491,-17.357295,7.0,Rural,7.9,./0.png
15.255203,-17.358605,7.0,Rural,7.9,./0.png
